Date/Time,Word Count,en,es,fr,hu,ro,ru,uk,zh-Hans,zh-Hant
2020.03.30-13.40.04,8291,8291,7745,7745,7662,7662,8291,0,7070,7045
2020.04.02-12.34.36,8291,8291,8291,7745,7662,7662,8291,0,7070,7045
2020.04.02-14.56.00,8291,8291,8291,7745,7662,7745,8291,0,7070,7045
2020.04.06-15.20.18,8291,8291,8291,8291,7662,7745,8291,0,7070,7045
2020.04.07-18.27.20,8291,8291,8291,8291,7662,7745,8291,0,7745,7045
2020.04.17-23.32.27,8289,8289,7745,7745,7662,7745,7745,0,7745,7045
2020.04.19-22.15.33,8289,8289,8289,8289,7662,7745,8289,0,7745,7045
2020.04.20-13.30.21,8289,8289,8289,8289,8289,7745,8289,0,7745,7045
2020.04.20-15.49.34,8289,8289,8289,8289,8289,7745,8289,0,7745,7720
2020.04.21-20.10.34,8289,8289,8289,8289,8289,7745,8289,0,7745,7745
2020.04.26-21.38.51,8334,8334,8289,8289,8289,7745,8289,0,7745,7745
2020.04.26-21.51.27,8289,8289,8289,8289,8289,7745,8289,0,7745,7745
2020.05.13-14.33.29,8300,8300,8289,8289,8289,7745,8289,0,7745,7745
2020.06.06-11.10.24,8302,8302,8289,8289,8289,7745,8289,0,7745,7745
2020.06.06-11.33.08,8300,8300,8289,8289,8289,7745,8289,0,7745,7745
2020.06.25-10.50.59,8300,8300,8289,8289,8300,7745,8289,0,7745,7745
2020.06.29-17.22.47,8300,8300,8257,8257,8268,7713,8257,0,7713,7713
2020.06.29-17.23.20,8300,8300,8268,8268,8279,7724,8268,0,7724,7724
2020.06.29-19.07.52,8300,8300,8289,8289,8300,7745,8289,0,7745,7745
2020.06.29-19.42.10,8300,8300,8289,8300,8300,7756,8300,0,7756,7756
2020.06.29-22.45.03,8300,8300,8278,8289,8289,7745,8289,0,7745,7745
2020.07.01-22.33.27,8300,8300,8289,8289,8289,7745,8289,0,7745,7745
