Key,SourceString,Comment
use,Use,use device in EndFinal level
use_device,Use Device,
take_abacus,Take Abacus,
take_all,Take All,
activate,Activate,
activate_elevator,Activate Elevator,
elevator_activated,Elevator Activated,
use_crystal,Use Crystal,
call_elevator,Call Elevator,
use_elevator,Use Elevator,
use_elevator_gem,Use Elevator Gem,
place_rope,Place Rope,
charge,Charge,charge gem in Act I
entrace_locked,Entrance locked from the other side,
touch_statue,Touch Statue,
travel,Travel,travel on the train station path
explore_stations,Explore more stations before using the railway system.,
absorb_energy,Absorb Energy,
restore,Restore,restore the HP
soulkeeper_released,Soulkeeper released,
change_spells,Change Spells,
key_missing,Key Missing: {0},{0} is the key name
unlocked_with,Unlocked with {0},{0} is the key name
swing,Swing,Swings on the pole with the arms
switch_interact,Switch,"Switch interact alternative,  between the two modes"
memory_stone_aquire,Acquire Memory Stone,
memory_stone_gained,Memory Stone Gained,
stone_cant_carry,You can't carry more {0},{0} is the stone name
stone_cant_store,You don't have anything you could use to store {0},{0} is the stone name
stone_added,{0} {1} added to your bag!,"{0} is the stone amount, {1} is the stone name"
destroy,Destroy,destroy device in EndFinal level
window,Window,examine Window
chest,Chest,examine Chest
bed,Bed,examine Bed
cat_bed,Tabby's Bed,examine Tabbys (cat name) bed
notebook,Notebook,examine Notebook
door,Door,examine Door
moms_room,Mom's Room,examine Mom's Room
candles,Candles,examine Candles
painting,Painting,examine Painting
paintings,Paintings,examine Paintings
dads_room,Daddy's Room,examine Dad's Room
exit,Exit,exit room
stairs,Stairs,enter stairs
chair,Chair,examine Chair
lamps,Lamps,examine Lamps
workroom,Workroom,examine/enter Workroom
laboratory,Laboratory,examine/enter Laboratory
device,Device,use Device
middle_lever,Middle Lever,"use Middle Lever "
left_lever,Left Lever,use Left Lever
right_lever,Right Lever,use Right Lever
go_up,Go up,go up the stairs
go_down,Go down,go down the stairs
reset_portals,Reset Portals,lever
check_door,Check Door,"check door "
inspect_fountain,Inspect Fountain,""
pick_up,Pick Up,pick up box or carryable
drop,Drop,drop box or carryable
wheel_release,Release,release lever wheel
wheel_turn,Turn,turn lever wheel
release_keeper,Release Keeper,""
use_magic_mirror,Use Magic Mirror,""
use_active_item,Use Active Item,uses the active item
use_workshop,Use Workshop,""
you_are_worthy,You are not worthy!,gate golem tutorial level message interaction
replay_boss_fight,Replay Boss Fight,interaction hint to play a boss fight which was already won
use_separate_explained,Use the device to separate the Realms,""
use_destroy_explained,Destroy the device to save the creatures of Ruined Realm,""
